rank,pack_id,recipient_offset,recipient_length,recipient_class,class_name,known_source_group,known_source_overlap_windows,known_source_overlap_fraction,canonical_source_group,canonical_overlap_windows,canonical_overlap_fraction,class_match,screen_score,status
0,450,471801499,1048049,10,mixed,388,30,0.001028595,422,436,0.014948913,0,6538.714531,screen_only_exact_test_required
1,456,478103262,1048852,9,list,388,23,0.000797310,422,450,0.015599542,1,6536.149790,screen_only_exact_test_required
2,453,474956992,1048122,0,prose,388,26,0.000941245,422,399,0.014444485,0,6248.314249,screen_only_exact_test_required
3,441,462374119,1047493,0,prose,388,27,0.001003307,422,380,0.014120620,0,6189.524135,screen_only_exact_test_required
4,454,476005114,1048830,0,prose,388,25,0.000909620,422,390,0.014190074,0,6121.146121,screen_only_exact_test_required
5,467,489635862,1048909,9,list,388,29,0.001004816,422,397,0.013755587,1,6083.771682,screen_only_exact_test_required
6,457,479152114,1046738,9,list,388,18,0.000635459,422,397,0.014015392,1,5783.345866,screen_only_exact_test_required
7,437,458179200,1048395,10,mixed,388,25,0.000890440,422,372,0.013249751,0,5763.852971,screen_only_exact_test_required
8,446,467610719,1049050,10,mixed,388,23,0.000780058,422,395,0.013396642,0,5712.382483,screen_only_exact_test_required
9,449,470755850,1045649,0,prose,388,26,0.000905261,422,367,0.012778107,0,5613.098273,screen_only_exact_test_required
10,455,477053944,1049318,0,prose,388,19,0.000660755,422,383,0.013319423,0,5552.052600,screen_only_exact_test_required
11,452,473897987,1059005,0,prose,388,23,0.000790650,422,364,0.012512891,0,5398.161568,screen_only_exact_test_required
12,489,512699987,1048981,10,mixed,388,25,0.000852457,422,357,0.012173083,0,5341.535769,screen_only_exact_test_required
13,475,498023217,1048878,10,mixed,388,25,0.000859786,422,350,0.012037005,0,5297.737903,screen_only_exact_test_required
14,442,463421612,1048858,10,mixed,388,25,0.000813299,422,367,0.011939230,0,5225.529669,screen_only_exact_test_required
15,451,472849548,1048439,0,prose,388,24,0.000894055,422,315,0.011734466,0,5206.617568,screen_only_exact_test_required
16,436,457131352,1047848,0,prose,388,28,0.000972492,422,330,0.011461517,0,5205.023340,screen_only_exact_test_required
17,432,452936697,1048802,0,prose,388,36,0.001364360,422,258,0.009777913,0,4987.629273,screen_only_exact_test_required
18,479,502216453,1049001,0,prose,388,32,0.001158203,422,284,0.010279055,0,4961.872453,screen_only_exact_test_required
19,482,505362867,1048252,10,mixed,388,33,0.001145833,422,295,0.010243056,0,4944.402778,screen_only_exact_test_required
20,434,455034466,1048436,10,mixed,388,27,0.000904008,422,323,0.010814611,0,4904.621773,screen_only_exact_test_required
21,498,522137667,1048041,0,prose,388,20,0.000695846,422,328,0.011411871,0,4894.000696,screen_only_exact_test_required
22,448,469708075,1047775,0,prose,388,22,0.000770308,422,315,0.011029412,0,4832.102241,screen_only_exact_test_required
23,464,486490859,1049387,0,prose,388,32,0.001196083,422,261,0.009755551,0,4805.025529,screen_only_exact_test_required
24,435,456082902,1048450,10,mixed,388,22,0.000744400,422,315,0.010658456,0,4676.359579,screen_only_exact_test_required
25,445,466568071,1042648,10,mixed,388,23,0.000773239,422,306,0.010287443,0,4572.844344,screen_only_exact_test_required
26,430,450839473,1048996,0,prose,388,30,0.001063377,422,267,0.009464058,0,4569.297533,screen_only_exact_test_required
27,429,449791485,1047988,10,mixed,388,32,0.001019368,422,298,0.009492864,0,4554.870540,screen_only_exact_test_required
28,478,501168480,1047973,0,prose,388,26,0.000975939,422,257,0.009646785,0,4532.814102,screen_only_exact_test_required
29,431,451888469,1048228,0,prose,388,21,0.000772769,422,276,0.010156394,0,4507.506900,screen_only_exact_test_required
30,424,444541495,1045024,10,mixed,388,30,0.000991539,422,283,0.009353517,0,4466.769699,screen_only_exact_test_required
31,440,461325735,1048384,0,prose,388,22,0.000798548,422,274,0.009945554,0,4460.491833,screen_only_exact_test_required
32,433,453985499,1048967,6,url,388,28,0.000924611,422,285,0.009411221,0,4417.038454,screen_only_exact_test_required
33,470,492781013,1047740,0,prose,388,29,0.001158887,422,220,0.008791560,0,4403.933504,screen_only_exact_test_required
34,529,554483913,383400,1,xml,388,32,0.003145272,421,34,0.003341852,0,4395.920385,screen_only_exact_test_required
35,425,445586519,1055183,10,mixed,388,22,0.000730024,422,295,0.009788957,0,4347.658747,screen_only_exact_test_required
36,472,494878210,1048247,0,prose,388,31,0.001191208,422,221,0.008492161,0,4335.964494,screen_only_exact_test_required
37,495,518991519,1048192,0,prose,388,23,0.000905940,422,236,0.009295730,0,4323.445407,screen_only_exact_test_required
38,439,460276478,1049257,0,prose,388,29,0.001002073,422,259,0.008949551,0,4321.916033,screen_only_exact_test_required
